Ref. Des.,X(mm),Y(mm),Rotation,Layer,Part Type,Value,Footprint
C15,44.196,21.971,270,TOP,SMD,1.0uF,C0603
C22,42.164,27.94,0,TOP,SMD,1.0uF,C0603
R11,35.56,11.43,0,TOP,SMD,1.5K,R0603
R4,27.94,17.78,180,TOP,SMD,10.0K,R0603
R6,31.115,17.78,0,TOP,SMD,10.0K,R0603
R8,11.43,22.86,90,TOP,SMD,10.0K,R0603
R1,7.62,45.72,270,TOP,SMD,100,R0603
C1,6.985,7.62,0,TOP,SMD,100nF,C0603
C3,44.45,43.18,180,TOP,SMD,100nF,C0603
C4,46.99,36.83,270,TOP,SMD,100nF,C0603
C5,46.355,21.971,270,TOP,SMD,100nF,C0603
R12,13.335,27.94,90,TOP,SMD,12.0K,R0603
R2,10.16,36.83,270,TOP,SMD,150,R0603
R9,35.56,16.51,180,TOP,SMD,22,R0603
R10,35.56,13.97,180,TOP,SMD,22,R0603
R13,16.51,27.94,270,TOP,SMD,22.0K,R0603
C11,36.449,24.13,0,TOP,SMD,22pF,C0603
C12,36.449,26.162,180,TOP,SMD,22pF,C0603
Q1,15.24,22.86,270,TOP,SMD,DMG2302UK,DMG2302UK
C2,19.05,16.51,0,TOP,SMD,DNP,C0603
R3,27.94,15.875,0,TOP,SMD,DNP,R0603
R5,31.115,15.875,180,TOP,SMD,DNP,R0603
R7,44.45,45.72,180,TOP,SMD,DNP,R0603
FD1,3.81,60.96,0,TOP,SMD,FIDUCIALUFIDUCIAL,MICRO-FIDUCIAL
FD2,45.72,57.15,0,TOP,SMD,FIDUCIALUFIDUCIAL,MICRO-FIDUCIAL
D2,45.085,31.75,270,TOP,SMD,MBR130T3G,SOD123
D3,41.275,31.75,270,TOP,SMD,MBR130T3G,SOD123
U2,42.164,24.892,180,TOP,SMD,MCP1703AT-3302E/CB,MCP1703AT-3302E/CB
U1,26.67,26.67,90,TOP,SMD,STM32F205RE,LQFP64
J4,13.97,13.97,270,TOP,SMD,TC2050-IDC-NLFP,TC2050-IDC-NLFP
U3,26.67,56.007,180,TOP,SMD,UG-2864HSWEG01_0.96IN_WRAPAROUND,UG-2864HSWEG01_0.96IN_WRAPAROUND
D1,10.16,40.64,0,TOP,SMD,YELLOW,603
J7,41.91,13.97,270,TOP,SMD,ZX80-B-5P,ZX80-B-5P
S1,19.05,38.1,180,TOP,THT,1825910-6,SWITCH-TACT-TH
S2,34.29,38.1,0,TOP,THT,1825910-6,SWITCH-TACT-TH
J5,19.05,43.18,0,TOP,THT,DNP,1X07
J6,43.18,38.1,90,TOP,THT,DNP,M20-9990246
C18,29.845,53.34,270,BOT,SMD,1.0uF,C0603
C19,34.163,53.34,90,BOT,SMD,1.0uF,C0603
C21,36.068,53.34,270,BOT,SMD,1.0uF,C0603
C8,30.861,21.082,0,BOT,SMD,100nF,C0603
C9,27.94,28.575,0,BOT,SMD,100nF,C0603
C10,27.94,30.48,0,BOT,SMD,100nF,C0603
C13,24.13,34.925,90,BOT,SMD,100nF,C0603
C14,21.209,19.939,270,BOT,SMD,100nF,C0603
C16,28.321,20.574,270,BOT,SMD,100nF,C0603
C17,31.75,53.34,270,BOT,SMD,100nF,C0603
C6,24.13,28.702,270,BOT,SMD,2.2uF,C0603
C7,19.05,20.32,270,BOT,SMD,2.2uF,C0603
C20,18.034,53.34,270,BOT,SMD,2.2uF,C0603
R14,19.939,53.34,90,BOT,SMD,390K,R0603
X1,35.56,25.146,270,BOT,THT,ABL-8.000MHZ-B2,ABL-8.000MHZ-B2
J1,2.54,31.75,270,BOT,THT,M20-9992046,M20-9992046
J2,26.67,2.54,180,BOT,THT,M20-9992046,M20-9992046
J3,50.8,31.75,270,BOT,THT,M20-9992046,M20-9992046
